"CORAZON G. CLEMENA REAL ESTATE LESSOR","54, DANNY FLORO ST., (CGC CMPD)Bagong Ilog","APT REAL ESTATE LESSOR - BUILDING","54, DANNY FLORO ST.","(CGC CMPD)BAGONG ILOG","14.5705732","121.0701573"
"POWERONE VENTURES ENERGY INC.","5/F C5 OFFICE BUILDING COMPLEX, 100 E. RODRIGUEZ JR. AVE.","BSM BIG SCALE MANUFACTURER","5/F C5 OFFICE BUILDING COMPLEX","100 E. RODRIGUEZ JR. AVE.","14.5826092","121.077283"
"RINA M. BALINGIT","6A\B, 1ST STREETKapitolyo","APT LESSOR - APARTMENT RESIDENTIAL","6A\B","1ST STREETKAPITOLYO","12.879721","121.774017"
"CITYVETS ANIMAL CLINIC","UNIT 1E ALPHA SQUARE 138, A. SANDOVAL AVE","ES3 ESSENTIAL COMMODITIES; SER VETERINARY CLINIC","UNIT 1E ALPHA SQUARE 138","A. SANDOVAL AVE","14.5539503","121.0966706"
"J3N3 PARKING MANAGEMENT CORP.","UNIT 734, MEGAPLAZA BLDG.,, ADB AVE. CORNER GARNET ROAD ORTIGAS CENTER","SER PARKING","UNIT 734, MEGAPLAZA BLDG.,","ADB AVE. CORNER GARNET ROAD ORTIGAS CENTER","14.5893087","121.060707"
"GOLDEN YEARS TUTORIAL CENTER","LEVEL 4 SPACE NO. 461, AYALA MALLS FELIZ, MARCOS HI WAY, AMANG RODRIGUEZ AVE.","SER TUTORIAL","LEVEL 4 SPACE NO. 461, AYALA MALLS FELIZ, MARCOS HI WAY","AMANG RODRIGUEZ AVE.","14.6197791","121.0932076"
"MANILA PADEL CLUB, INC.","AREA 1, LOT 4, OPEN FIELD, ARCOVIA CITY","AMN AMN BADMINTON COURT","AREA 1, LOT 4, OPEN FIELD","ARCOVIA CITY","14.5786326","121.0743674"
"ALEX JULIAN LAUNDRY SHOP","# 13 SGT. SANTOS ST., BAGONG ILOG","SER LAUNDRY","# 13 SGT. SANTOS ST.","BAGONG ILOG","14.5648183","121.070502"
"WOS HOLDINGS CORPORATION","# 13, BANNER STREET, Bagong Ilog","IN6 HOLDINGS (MAIN OFFICE)","# 13, BANNER STREET","BAGONG ILOG","14.5696011","121.0684259"
"ALLORA SPA & SALON","# 14, PASIG BLVD., BAGONG ILOG","SER SALON","# 14, PASIG BLVD.","BAGONG ILOG","14.5643655","121.0653159"
"FIRSTAPLUS LAUNDRY STATION","# 140, PASIG BOULEVARD, BAGONG ILOG","SER LAUNDRY","# 140, PASIG BOULEVARD","BAGONG ILOG","14.5653776","121.0659529"
