"PASUS ELECTRICAL SERVICES","BLK 21 LOT 98, QUIRINO ST. NAGPAYONG, PINAGBUHATAN","SER ELECTRICAL SERVICES","BLK 21 LOT 98, QUIRINO ST. NAGPAYONG","PINAGBUHATAN","14.6174794","120.9625788"
"JEFFREY'S SARI-SARI STORE","BLK 22,  PATOK KENNETH NAGPAYONG II, PINAGBUHATAN","FIX CIGARETTE; FIX FIX TAXES - LOCAL WINE; RET MINI GROCERY","BLK 22,  PATOK KENNETH NAGPAYONG II","PINAGBUHATAN","14.5363041","121.1084851"
"MELVIN PELAYO STORE","BLK 23 EUSEBIO AVE. NAGPAYONG 2, PINAGBUHATAN","CAR CARENDERIA; ES3 MEAT; RET PROCESSED MEAT","BLK 23 EUSEBIO AVE. NAGPAYONG 2","PINAGBUHATAN","14.5396857","121.1054547"
"MANRIQUE, MARINEL S.","BLK 23 EUSEBIO AVE., NAGPAYONG II, PINAGBUHATAN","SAR SARI-SARI STORE","BLK 23 EUSEBIO AVE., NAGPAYONG II","PINAGBUHATAN","14.5396857","121.1054547"
"RESIL STORE","BLK 23 LOT 12, GUYABANO ST., DILANG 1, PINAGBUHATAN","RET LOCAL WINE; ES3 RICE GRAIN RETAILER; SAR SARI-SARI STORE","BLK 23 LOT 12, GUYABANO ST., DILANG 1","PINAGBUHATAN","14.5466124","121.1075051"
"CARNIVAL BICYCLE PARTS","BLK 24 LOT 1 BOARDER LANE, PINAGBUHATAN","RET BICYCLE PARTS; SER SERVICES","BLK 24 LOT 1 BOARDER LANE","PINAGBUHATAN","14.5493464","121.099429"
"JESLENE BUKO JUICE CART","BLK 24 LOT 45 PARAISO ST, EUSEBIO AVE., NAGPAYONG 2, PINAGBUHATAN","SSM SMALL SCALE MANUFACTURER","BLK 24 LOT 45 PARAISO ST, EUSEBIO AVE., NAGPAYONG 2","PINAGBUHATAN","14.5493464","121.099429"
"JVSG FURNITURE TRADING","BLK 28 LOT 20 MOLAVE ST. EUSEBIO AVENUE NAGPAYONG, PINAGBUHATAN","RET RETAILER - FURNITURE","BLK 28 LOT 20 MOLAVE ST. EUSEBIO AVENUE NAGPAYONG","PINAGBUHATAN","14.5442833","121.1039077"
"R & DY FURNITURE TRADING","BLK 28 MOLAVE ST. NAGPAYONG II, PINAGBUHATAN","RET RETAILER - FURNITURE","BLK 28 MOLAVE ST. NAGPAYONG II","PINAGBUHATAN","14.5437549","121.103602"
"CONSUMER GOODS RETAILING R. C. A. ADRIOSULA","BLK 28, MOLAVE ST. KENNETH ROAD, PINAGBUHATAN","ES3 ES3 RICE RETAILER; ES3 POULTRY SUPPLY; SAR SARI-SARI STORE","BLK 28, MOLAVE ST. KENNETH ROAD","PINAGBUHATAN","14.5437549","121.103602"
"DAFANG, ROWENA J","BLK 3 LOT 14 BLESSED HOMES NAGPAYONG ELIAS ST., PINAGBUHATAN","RET RETAILER","BLK 3 LOT 14 BLESSED HOMES NAGPAYONG ELIAS ST.","PINAGBUHATAN","14.5493464","121.099429"
"BUDGETARIAN BRIDE ONLINE TUTORIAL SERVICES","BLK 3 LOT 14, VILLA GLORIA, PINAGBUHATAN","SER TUTORIAL","BLK 3 LOT 14, VILLA GLORIA","PINAGBUHATAN","14.5574409","121.0932506"
"MOST GLORIOUS VICTORY CO. INC.","BLK 3 LOT 5 GERMANY ST. VILLA RAYMUNDO, PINAGBUHATAN, PINAGBUHATAN","SER TRUCKING SERVICES","BLK 3 LOT 5 GERMANY ST. VILLA RAYMUNDO, PINAGBUHATAN","PINAGBUHATAN","14.5435774","121.1008826"
